web-scraper-order,web-scraper-start-url,Links,Links-href,Name,Casts,Movie info,Ratings,Runtime,Movie stars,Director,Writers
1689701169-1,https://www.imdb.com/chart/top/?ref_=nv_mv_250,250. Dances with Wolves,https://www.imdb.com/title/tt0099348/?ref_=chttp_t_250,Dances with Wolves,Cast & crew,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",8,3h 1m,,DirectorKevin Costner,WriterMichael Blake
1689701185-2,https://www.imdb.com/chart/top/?ref_=nv_mv_250,249. Aladdin,https://www.imdb.com/title/tt0103639/?ref_=chttp_t_249,Aladdin,Cast & crew,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,8,1h 30m,,DirectorsRon ClementsJohn Musker,WritersRon ClementsJohn MuskerTed Elliott
1689701212-3,https://www.imdb.com/chart/top/?ref_=nv_mv_250,248. Life of Brian,https://www.imdb.com/title/tt0079470/?ref_=chttp_t_248,Life of Brian,Cast & crew,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",8,1h 34m,,DirectorTerry Jones,WritersGraham ChapmanJohn CleeseTerry Gilliam
1689701223-4,https://www.imdb.com/chart/top/?ref_=nv_mv_250,247. The Help,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_247,The Help,Cast & crew,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",8.1,2h 26m,,DirectorTate Taylor,WritersTate TaylorKathryn Stockett
1689701233-5,https://www.imdb.com/chart/top/?ref_=nv_mv_250,246. The Iron Giant,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_246,The Iron Giant,Cast & crew,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8.1,1h 26m,,DirectorBrad Bird,WritersTim McCanliesBrad BirdTed Hughes
1689701243-6,https://www.imdb.com/chart/top/?ref_=nv_mv_250,245. Persona,https://www.imdb.com/title/tt0060827/?ref_=chttp_t_245,Persona,Cast & crew,A nurse is put in charge of a mute actress and finds that their personae are melding together.,8.1,1h 23m,,DirectorIngmar Bergman,WriterIngmar Bergman
1689701253-7,https://www.imdb.com/chart/top/?ref_=nv_mv_250,244. The 400 Blows,https://www.imdb.com/title/tt0053198/?ref_=chttp_t_244,The 400 Blows,Cast & crew,"A young boy, left without attention, delves into a life of petty crime.",8.1,1h 39m,,DirectorFrançois Truffaut,WritersFrançois TruffautMarcel Moussy
1689701265-8,https://www.imdb.com/chart/top/?ref_=nv_mv_250,243. It Happened One Night,https://www.imdb.com/title/tt0025316/?ref_=chttp_t_243,It Happened One Night,Cast & crew,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",8.1,1h 45m,,DirectorFrank Capra,WritersRobert RiskinSamuel Hopkins Adams
1689701276-9,https://www.imdb.com/chart/top/?ref_=nv_mv_250,242. The Sound of Music,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_242,The Sound of Music,Cast & crew,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,8.1,2h 52m,,DirectorRobert Wise,WritersGeorg HurdalekHoward LindsayRussel Crouse
1689701289-10,https://www.imdb.com/chart/top/?ref_=nv_mv_250,241. Guardians of the Galaxy Vol. 3,https://www.imdb.com/title/tt6791350/?ref_=chttp_t_241,Guardians of the Galaxy Vol. 3,Cast & crew,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",8.1,2h 30m,,DirectorJames Gunn,WritersJames GunnJim StarlinStan Lee
1689701300-11,https://www.imdb.com/chart/top/?ref_=nv_mv_250,240. Cool Hand Luke,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_240,Cool Hand Luke,Cast & crew,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",8.1,2h 7m,,DirectorStuart Rosenberg,WritersDonn PearceFrank PiersonHal Dresner
1689701311-12,https://www.imdb.com/chart/top/?ref_=nv_mv_250,239. Rebecca,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_239,Rebecca,Cast & crew,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,8.1,2h 10m,,DirectorAlfred Hitchcock,WritersDaphne Du MaurierRobert E. SherwoodJoan Harrison
1689701323-13,https://www.imdb.com/chart/top/?ref_=nv_mv_250,238. Amores Perros,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_238,Amores Perros,Cast & crew,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",8.1,2h 34m,,DirectorAlejandro G. Iñárritu,WriterGuillermo Arriaga
1689701333-14,https://www.imdb.com/chart/top/?ref_=nv_mv_250,237. Pather Panchali,https://www.imdb.com/title/tt0048473/?ref_=chttp_t_237,Pather Panchali,Cast & crew,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",8.2,2h 5m,,DirectorSatyajit Ray,WritersBibhutibhushan BandyopadhyaySatyajit Ray
1689701345-15,https://www.imdb.com/chart/top/?ref_=nv_mv_250,236. The Handmaiden,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_236,The Handmaiden,Cast & crew,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",8.1,2h 25m,,DirectorPark Chan-wook,WritersSarah WatersChung Seo-kyungPark Chan-wook
1689701356-16,https://www.imdb.com/chart/top/?ref_=nv_mv_250,235. Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_235,Hachi: A Dog's Tale,Cast & crew,A college professor bonds with an abandoned dog he takes into his home.,8.1,1h 33m,,DirectorLasse Hallström,WritersStephen P. LindseyKaneto Shindô
1689701368-17,https://www.imdb.com/chart/top/?ref_=nv_mv_250,234. The Grapes of Wrath,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_234,The Grapes of Wrath,Cast & crew,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",8.1,2h 9m,,DirectorJohn Ford,WritersNunnally JohnsonJohn Steinbeck
1689701381-18,https://www.imdb.com/chart/top/?ref_=nv_mv_250,233. The Battle of Algiers,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_233,The Battle of Algiers,Cast & crew,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",8.1,2h 1m,,DirectorGillo Pontecorvo,WritersFranco SolinasGillo Pontecorvo
1689701390-19,https://www.imdb.com/chart/top/?ref_=nv_mv_250,232. My Father and My Son,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_232,My Father and My Son,Cast & crew,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,8.2,1h 52m,,DirectorÇagan Irmak,WriterÇagan Irmak
1689701406-20,https://www.imdb.com/chart/top/?ref_=nv_mv_250,231. Groundhog Day,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_231,Groundhog Day,Cast & crew,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",8,1h 41m,,DirectorHarold Ramis,WritersDanny RubinHarold Ramis
1689701416-21,https://www.imdb.com/chart/top/?ref_=nv_mv_250,230. To Be or Not to Be,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_230,To Be or Not to Be,Cast & crew,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",8.2,1h 39m,,DirectorErnst Lubitsch,WritersMelchior LengyelEdwin Justus MayerErnst Lubitsch
1689701429-22,https://www.imdb.com/chart/top/?ref_=nv_mv_250,229. Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_229,Pirates of the Caribbean: The Curse of the Black Pearl,Cast & crew,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",8.1,2h 23m,,DirectorGore Verbinski,WritersTed ElliottTerry RossioStuart Beattie
1689701440-23,https://www.imdb.com/chart/top/?ref_=nv_mv_250,228. The Exorcist,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_228,The Exorcist,Cast & crew,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",8.1,2h 2m,,DirectorWilliam Friedkin,WriterWilliam Peter Blatty
1689701453-24,https://www.imdb.com/chart/top/?ref_=nv_mv_250,227. The Incredibles,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_227,The Incredibles,Cast & crew,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",8,1h 55m,,DirectorBrad Bird,WriterBrad Bird
1689701463-25,https://www.imdb.com/chart/top/?ref_=nv_mv_250,226. La haine,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_226,La haine,Cast & crew,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1,1h 38m,,DirectorMathieu Kassovitz,WriterMathieu Kassovitz
1689701492-26,https://www.imdb.com/chart/top/?ref_=nv_mv_250,225. The Wizard of Oz,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_225,The Wizard of Oz,Cast & crew,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",8.1,1h 42m,,DirectorsVictor FlemingGeorge CukorMervyn LeRoy,WritersNoel LangleyFlorence RyersonEdgar Allan Woolf
1689701504-27,https://www.imdb.com/chart/top/?ref_=nv_mv_250,224. Into the Wild,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_224,Into the Wild,Cast & crew,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",8.1,2h 28m,,DirectorSean Penn,WritersSean PennJon Krakauer
1689701518-28,https://www.imdb.com/chart/top/?ref_=nv_mv_250,223. The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_223,The Best Years of Our Lives,Cast & crew,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",8.1,2h 50m,,DirectorWilliam Wyler,WritersRobert E. SherwoodMacKinlay Kantor
1689701546-29,https://www.imdb.com/chart/top/?ref_=nv_mv_250,222. Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_222,Stand by Me,Cast & crew,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",8.1,1h 29m,,DirectorRob Reiner,WritersStephen KingRaynold GideonBruce A. Evans
1689701561-30,https://www.imdb.com/chart/top/?ref_=nv_mv_250,221. Network,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_221,Network,Cast & crew,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",8.1,2h 1m,,DirectorSidney Lumet,WriterPaddy Chayefsky
1689701590-31,https://www.imdb.com/chart/top/?ref_=nv_mv_250,220. Rush,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_220,Rush,Cast & crew,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,8.1,2h 3m,,DirectorRon Howard,WriterPeter Morgan
1689701608-32,https://www.imdb.com/chart/top/?ref_=nv_mv_250,219. Before Sunset,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_219,Before Sunset,Cast & crew,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",8.1,1h 20m,,DirectorRichard Linklater,WritersRichard LinklaterJulie DelpyEthan Hawke
1689701637-33,https://www.imdb.com/chart/top/?ref_=nv_mv_250,218. Jai Bhim,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_218,Jai Bhim,Cast & crew,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",8.8,2h 44m,,DirectorT.J. Gnanavel,WritersT.J. GnanavelRajendra Sapre
1689701667-34,https://www.imdb.com/chart/top/?ref_=nv_mv_250,217. The Terminator,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_217,The Terminator,Cast & crew,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",8.1,1h 47m,,DirectorJames Cameron,WritersJames CameronGale Anne HurdWilliam Wisher
1689701679-35,https://www.imdb.com/chart/top/?ref_=nv_mv_250,216. Spotlight,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_216,Spotlight,Cast & crew,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",8.1,2h 9m,,DirectorTom McCarthy,WritersJosh SingerTom McCarthy
1689701689-36,https://www.imdb.com/chart/top/?ref_=nv_mv_250,215. Logan,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_215,Logan,Cast & crew,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",8.1,2h 17m,,DirectorJames Mangold,WritersJames MangoldScott FrankMichael Green
1689701698-37,https://www.imdb.com/chart/top/?ref_=nv_mv_250,214. Platoon,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_214,Platoon,Cast & crew,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",8.1,2h,,DirectorOliver Stone,WriterOliver Stone
1689701718-38,https://www.imdb.com/chart/top/?ref_=nv_mv_250,213. Rocky,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_213,Rocky,Cast & crew,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,8.1,2h,,DirectorJohn G. Avildsen,WriterSylvester Stallone
1689701729-39,https://www.imdb.com/chart/top/?ref_=nv_mv_250,212. Hotel Rwanda,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_212,Hotel Rwanda,Cast & crew,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",8.1,2h 1m,,DirectorTerry George,WritersKeir PearsonTerry George
1689701741-40,https://www.imdb.com/chart/top/?ref_=nv_mv_250,211. Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_211,Ratatouille,Cast & crew,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,8.1,1h 51m,,DirectorsBrad BirdJan Pinkava,WritersBrad BirdJan PinkavaJim Capobianco
1689701752-41,https://www.imdb.com/chart/top/?ref_=nv_mv_250,210. The Passion of Joan of Arc,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_210,The Passion of Joan of Arc,Cast & crew,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",8.2,1h 54m,,DirectorCarl Theodor Dreyer,WritersJoseph DelteilCarl Theodor Dreyer
1689701762-42,https://www.imdb.com/chart/top/?ref_=nv_mv_250,209. Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_209,Ford v Ferrari,Cast & crew,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,8.1,2h 32m,,DirectorJames Mangold,WritersJez ButterworthJohn-Henry ButterworthJason Keller
1689701773-43,https://www.imdb.com/chart/top/?ref_=nv_mv_250,208. The Big Lebowski,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_208,The Big Lebowski,Cast & crew,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",8.1,1h 57m,,DirectorsJoel CoenEthan Coen,WritersEthan CoenJoel Coen
1689701786-44,https://www.imdb.com/chart/top/?ref_=nv_mv_250,207. Tokyo Story,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_207,Tokyo Story,Cast & crew,"An old couple visit their children and grandchildren in the city, but receive little attention.",8.2,2h 16m,,DirectorYasujirô Ozu,WritersKôgo NodaYasujirô Ozu
1689701795-45,https://www.imdb.com/chart/top/?ref_=nv_mv_250,206. Room,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_206,Room,Cast & crew,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",8.1,1h 58m,,DirectorLenny Abrahamson,WriterEmma Donoghue
1689701813-46,https://www.imdb.com/chart/top/?ref_=nv_mv_250,205. The Seventh Seal,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_205,The Seventh Seal,Cast & crew,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",8.1,1h 36m,,DirectorIngmar Bergman,WriterIngmar Bergman
1689701825-47,https://www.imdb.com/chart/top/?ref_=nv_mv_250,204. Jaws,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_204,Jaws,Cast & crew,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",8.1,2h 4m,,DirectorSteven Spielberg,WritersPeter BenchleyCarl Gottlieb
1689701838-48,https://www.imdb.com/chart/top/?ref_=nv_mv_250,203. How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_203,How to Train Your Dragon,Cast & crew,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",8.1,1h 38m,,DirectorsDean DeBloisChris Sanders,WritersWill DaviesDean DeBloisChris Sanders
1689701854-49,https://www.imdb.com/chart/top/?ref_=nv_mv_250,"202. Monsters, Inc.",https://www.imdb.com/title/tt0198781/?ref_=chttp_t_202,"Monsters, Inc.",Cast & crew,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",8.1,1h 32m,,DirectorsPete DocterDavid SilvermanLee Unkrich,WritersPete DocterJill CultonJeff Pidgeon
1689701868-50,https://www.imdb.com/chart/top/?ref_=nv_mv_250,201. Mary and Max,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_201,Mary and Max,Cast & crew,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",8.1,1h 32m,,DirectorAdam Elliot,WriterAdam Elliot
1689701883-51,https://www.imdb.com/chart/top/?ref_=nv_mv_250,200. Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_200,Dead Poets Society,Cast & crew,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,8.1,2h 8m,,DirectorPeter Weir,WriterTom Schulman
1689701897-52,https://www.imdb.com/chart/top/?ref_=nv_mv_250,199. Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_199,Mad Max: Fury Road,Cast & crew,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",8.1,2h,,DirectorGeorge Miller,WritersGeorge MillerBrendan McCarthyNick Lathouris
1689701914-53,https://www.imdb.com/chart/top/?ref_=nv_mv_250,198. Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_198,Mr. Smith Goes to Washington,Cast & crew,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",8.1,2h 9m,,DirectorFrank Capra,WritersSidney BuchmanLewis R. FosterMyles Connolly
1689701930-54,https://www.imdb.com/chart/top/?ref_=nv_mv_250,197. Wild Tales,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_197,Wild Tales,Cast & crew,Six short stories that explore the extremities of human behavior involving people in distress.,8.1,2h 2m,,DirectorDamián Szifron,WritersJulian LoyolaDamián SzifronGermán Servidio
1689701939-55,https://www.imdb.com/chart/top/?ref_=nv_mv_250,196. Sherlock Jr.,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_196,Sherlock Jr.,Cast & crew,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",8.2,45m,,DirectorBuster Keaton,WritersJean C. HavezJoseph A. MitchellClyde Bruckman
1689701952-56,https://www.imdb.com/chart/top/?ref_=nv_mv_250,195. The Wages of Fear,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_195,The Wages of Fear,Cast & crew,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",8.2,2h 11m,,DirectorHenri-Georges Clouzot,WritersGeorges ArnaudHenri-Georges ClouzotJérôme Géronimi
1689701963-57,https://www.imdb.com/chart/top/?ref_=nv_mv_250,194. Memories of Murder,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_194,Memories of Murder,Cast & crew,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",8.1,2h 12m,,DirectorBong Joon Ho,WritersBong Joon HoKwang-rim KimSung-bo Shim
1689701974-58,https://www.imdb.com/chart/top/?ref_=nv_mv_250,193. The Third Man,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_193,The Third Man,Cast & crew,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,1h 33m,,DirectorCarol Reed,WritersGraham GreeneOrson WellesAlexander Korda
1689701984-59,https://www.imdb.com/chart/top/?ref_=nv_mv_250,192. The Deer Hunter,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_192,The Deer Hunter,Cast & crew,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,8.1,3h 3m,,DirectorMichael Cimino,WritersMichael CiminoDeric WashburnLouis Garfinkle
1689701996-60,https://www.imdb.com/chart/top/?ref_=nv_mv_250,191. Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_191,Hacksaw Ridge,Cast & crew,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",8.1,2h 19m,,DirectorMel Gibson,WritersRobert SchenkkanAndrew Knight
1689702006-61,https://www.imdb.com/chart/top/?ref_=nv_mv_250,190. Wild Strawberries,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_190,Wild Strawberries,Cast & crew,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",8.1,1h 31m,,DirectorIngmar Bergman,WriterIngmar Bergman
1689702016-62,https://www.imdb.com/chart/top/?ref_=nv_mv_250,189. In the Name of the Father,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_189,In the Name of the Father,Cast & crew,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,8.1,2h 13m,,DirectorJim Sheridan,WritersGerry ConlonTerry GeorgeJim Sheridan
1689702037-63,https://www.imdb.com/chart/top/?ref_=nv_mv_250,188. The General,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_188,The General,Cast & crew,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",8.1,1h 18m,,DirectorsClyde BruckmanBuster Keaton,WritersBuster KeatonClyde BruckmanAl Boasberg
1689702050-64,https://www.imdb.com/chart/top/?ref_=nv_mv_250,187. Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_187,Barry Lyndon,Cast & crew,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,8.1,3h 5m,,DirectorStanley Kubrick,WritersStanley KubrickWilliam Makepeace Thackeray
1689702061-65,https://www.imdb.com/chart/top/?ref_=nv_mv_250,186. On the Waterfront,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_186,On the Waterfront,Cast & crew,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",8.1,1h 48m,,DirectorElia Kazan,WritersBudd SchulbergMalcolm JohnsonRobert Siodmak
1689702071-66,https://www.imdb.com/chart/top/?ref_=nv_mv_250,185. Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_185,Gone Girl,Cast & crew,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",8.1,2h 29m,,DirectorDavid Fincher,WriterGillian Flynn
1689702088-67,https://www.imdb.com/chart/top/?ref_=nv_mv_250,184. Ben-Hur,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_184,Ben-Hur,Cast & crew,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",8.1,3h 32m,,DirectorWilliam Wyler,WritersLew WallaceKarl TunbergGore Vidal
1689702121-68,https://www.imdb.com/chart/top/?ref_=nv_mv_250,183. The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_183,The Grand Budapest Hotel,Cast & crew,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",8.1,1h 39m,,DirectorWes Anderson,WritersStefan ZweigWes AndersonHugo Guinness
1689702134-69,https://www.imdb.com/chart/top/?ref_=nv_mv_250,182. Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_182,Before Sunrise,Cast & crew,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",8.1,1h 41m,,DirectorRichard Linklater,WritersRichard LinklaterKim Krizan
